"feature_nm" "activity_nm" "subject_id" "avg__of__means" "avg__of__std_dev"
"fBodyAccMag" "WALKING_DOWNSTAIRS" 4 -0.01907433524 -0.263644030288889
"fBodyAccMag" "WALKING_DOWNSTAIRS" 5 0.155742168808511 0.0428533623276596
"fBodyAccMag" "WALKING_DOWNSTAIRS" 6 0.395958034583333 0.1446227570625
"fBodyAccMag" "WALKING_DOWNSTAIRS" 7 0.218911066191489 0.0214440976893617
"fBodyAccMag" "WALKING_DOWNSTAIRS" 8 0.301626757315789 -0.156141093578947
"fBodyAccMag" "WALKING_DOWNSTAIRS" 9 0.222203941 0.0888671674047619
"fBodyAccMag" "WALKING_DOWNSTAIRS" 10 0.220115703368421 -0.0616742840815789
"fBodyAccMag" "WALKING_DOWNSTAIRS" 11 0.0902807576630435 -0.137123060369565
"fBodyAccMag" "WALKING_DOWNSTAIRS" 12 0.148017269434783 -0.105124972078261
"fBodyAccMag" "WALKING_DOWNSTAIRS" 13 0.0528791880659574 -0.210912766382979
"fBodyAccMag" "WALKING_DOWNSTAIRS" 14 0.471905155133333 0.178684580868889
"fBodyAccMag" "WALKING_DOWNSTAIRS" 15 0.331150229285714 0.153124178119048
"fBodyAccMag" "WALKING_DOWNSTAIRS" 16 0.114032088546809 -0.0534137179170213
"fBodyAccMag" "WALKING_DOWNSTAIRS" 17 0.0580680522108696 -0.0618876767130435
"fBodyAccMag" "WALKING_DOWNSTAIRS" 18 -0.241973534781818 -0.344299434181818
"fBodyAccMag" "WALKING_DOWNSTAIRS" 19 0.586637550769231 0.0828630624102564
"fBodyAccMag" "WALKING_DOWNSTAIRS" 20 0.151887747217778 0.000242174637777778
"fBodyAccMag" "WALKING_DOWNSTAIRS" 21 0.239895893822222 0.0791271386644444
"fBodyAccMag" "WALKING_DOWNSTAIRS" 22 0.155526858911111 -0.0575202606055556
"fBodyAccMag" "WALKING_DOWNSTAIRS" 23 0.364829993351852 -0.0453930349148148
"fBodyAccMag" "WALKING_DOWNSTAIRS" 24 -0.0231701626603636 -0.175291708678182
"fBodyAccMag" "WALKING_DOWNSTAIRS" 25 -0.288154787517241 -0.359437080103448
"fBodyAccMag" "WALKING_DOWNSTAIRS" 26 0.075101684668 0.005749436614
"fBodyAccMag" "WALKING_DOWNSTAIRS" 27 0.149816459227273 -0.071212004425
"fBodyAccMag" "WALKING_DOWNSTAIRS" 28 0.188840007695652 -0.074058597676087
"fBodyAccMag" "WALKING_DOWNSTAIRS" 29 0.115973968158333 -0.0330868111229167
"fBodyAccMag" "WALKING_DOWNSTAIRS" 30 0.00410151034354839 -0.178535173268548
"fBodyAccMag" "SITTING" 1 -0.947782922553192 -0.928444801702128
"fBodyAccMag" "SITTING" 2 -0.96127374826087 -0.955575602173913
"fBodyAccMag" "SITTING" 3 -0.904185725576923 -0.874626592115385
"fBodyAccMag" "SITTING" 4 -0.929002095 -0.9198157096
"fBodyAccMag" "SITTING" 5 -0.936290604545455 -0.925669291136364
"fBodyAccMag" "SITTING" 6 -0.935750391272727 -0.939547202909091
"fBodyAccMag" "SITTING" 7 -0.90895677625 -0.88691563825
"fBodyAccMag" "SITTING" 8 -0.947981783478261 -0.93172124
"fBodyAccMag" "SITTING" 9 -0.8977181972 -0.8691725114
"fBodyAccMag" "SITTING" 10 -0.955281010740741 -0.941511952777778
"fBodyAccMag" "SITTING" 11 -0.953066009056604 -0.948521986037736
"fBodyAccMag" "SITTING" 12 -0.955944253137255 -0.950647188823529
"fBodyAccMag" "SITTING" 13 -0.956901559653061 -0.938529931020408
"fBodyAccMag" "SITTING" 14 -0.940589853333333 -0.929193937222222
"fBodyAccMag" "SITTING" 15 -0.949752001322034 -0.941195938135593
"fBodyAccMag" "SITTING" 16 -0.958335480724638 -0.942588250115942
"fBodyAccMag" "SITTING" 17 -0.973626755 -0.9653996796875
"fBodyAccMag" "SITTING" 18 -0.984781467192982 -0.982226151578947
"fBodyAccMag" "SITTING" 19 -0.962632577945206 -0.952802277671233
"fBodyAccMag" "SITTING" 20 -0.946913451666667 -0.942151231515152
"fBodyAccMag" "SITTING" 21 -0.974829227058824 -0.974447593176471
"fBodyAccMag" "SITTING" 22 -0.943078237096774 -0.926798029822581
"fBodyAccMag" "SITTING" 23 -0.945837830147059 -0.927090118382353
"fBodyAccMag" "SITTING" 24 -0.968905031470588 -0.965852262058824
"fBodyAccMag" "SITTING" 25 -0.967017992615385 -0.961997268307692
"fBodyAccMag" "SITTING" 26 -0.952411043717949 -0.934587699141026
"fBodyAccMag" "SITTING" 27 -0.974766466714286 -0.970885296857143
"fBodyAccMag" "SITTING" 28 -0.953928124027778 -0.952281424444444
"fBodyAccMag" "SITTING" 29 -0.973346531833333 -0.971218019833333
"fBodyAccMag" "SITTING" 30 -0.959923388064516 -0.943543732580645
"fBodyAccMag" "STANDING" 1 -0.985356361132075 -0.982313804716981
"fBodyAccMag" "STANDING" 2 -0.964052166481482 -0.960519381481482
"fBodyAccMag" "STANDING" 3 -0.926968932295082 -0.921836076557377
"fBodyAccMag" "STANDING" 4 -0.917614014821429 -0.895340042142857
"fBodyAccMag" "STANDING" 5 -0.9046413925 -0.886745170714286
"fBodyAccMag" "STANDING" 6 -0.945949804035088 -0.94456410754386
"fBodyAccMag" "STANDING" 7 -0.945611450377358 -0.93728796509434
"fBodyAccMag" "STANDING" 8 -0.953746070740741 -0.938628186322222
"fBodyAccMag" "STANDING" 9 -0.946330171777778 -0.940265546444444
"fBodyAccMag" "STANDING" 10 -0.9401101675 -0.945048242954545
"fBodyAccMag" "STANDING" 11 -0.982255413617021 -0.981503969574468
"fBodyAccMag" "STANDING" 12 -0.945217802786885 -0.939741929016393
"fBodyAccMag" "STANDING" 13 -0.972393559473684 -0.970445378947368
"fBodyAccMag" "STANDING" 14 -0.949715059833333 -0.939799869833333
"fBodyAccMag" "STANDING" 15 -0.960337344339623 -0.950204045849057
"fBodyAccMag" "STANDING" 16 -0.971082558076923 -0.957173571923077
"fBodyAccMag" "STANDING" 17 -0.980967748205128 -0.975504840641026
"fBodyAccMag" "STANDING" 18 -0.976797646027397 -0.973264853561644
"fBodyAccMag" "STANDING" 19 -0.968910788767123 -0.964259110821918
"fBodyAccMag" "STANDING" 20 -0.921225595205479 -0.918651880273973
"fBodyAccMag" "STANDING" 21 -0.962291334157303 -0.960041844382022
"fBodyAccMag" "STANDING" 22 -0.949044483015873 -0.943739135238095
"fBodyAccMag" "STANDING" 23 -0.957986177058823 -0.955291356470588
"fBodyAccMag" "STANDING" 24 -0.960066088115942 -0.949522556376812
"fBodyAccMag" "STANDING" 25 -0.972355393243243 -0.970203660405405
"fBodyAccMag" "STANDING" 26 -0.970605250405405 -0.963909299324324
"fBodyAccMag" "STANDING" 27 -0.973186182375 -0.967529105125
"fBodyAccMag" "STANDING" 28 -0.929146479367089 -0.923857158227848
"fBodyAccMag" "STANDING" 29 -0.984548094769231 -0.982247716
"fBodyAccMag" "STANDING" 30 -0.932047450677966 -0.921733233050847
"fBodyAccMag" "LAYING" 1 -0.8617676481 -0.7983009404
"fBodyAccMag" "LAYING" 2 -0.975110196458333 -0.975121387916667
"fBodyAccMag" "LAYING" 3 -0.96552427516129 -0.968350217419355
"fBodyAccMag" "LAYING" 4 -0.939389701296296 -0.937187975962963
"fBodyAccMag" "LAYING" 5 -0.962234984038462 -0.962525369423077
"fBodyAccMag" "LAYING" 6 -0.91235165222807 -0.905373979824561
"fBodyAccMag" "LAYING" 7 -0.927976880634615 -0.910542462919231
"fBodyAccMag" "LAYING" 8 -0.932279645518518 -0.917257979425926
"fBodyAccMag" "LAYING" 9 -0.9266042952 -0.921929738394
"fBodyAccMag" "LAYING" 10 -0.950848109137931 -0.944304974655172
"fBodyAccMag" "LAYING" 11 -0.973994004561404 -0.976037695614035
"fBodyAccMag" "LAYING" 12 -0.9438674399 -0.942133255166667
"fBodyAccMag" "LAYING" 13 -0.959535493548387 -0.949431319193548
"fBodyAccMag" "LAYING" 14 -0.899463668843137 -0.859606047058823
"fBodyAccMag" "LAYING" 15 -0.956001034027778 -0.94550856
"fBodyAccMag" "LAYING" 16 -0.968020521285714 -0.958111895857143
"fBodyAccMag" "LAYING" 17 -0.961046326338028 -0.949042531690141
"fBodyAccMag" "LAYING" 18 -0.986788412 -0.987648484461539
"fBodyAccMag" "LAYING" 19 -0.971957401325301 -0.964056773975904
"fBodyAccMag" "LAYING" 20 -0.952827071323529 -0.9418940855
"fBodyAccMag" "LAYING" 21 -0.953769071222222 -0.944449070888889
"fBodyAccMag" "LAYING" 22 -0.929818990972222 -0.913267251263889
"fBodyAccMag" "LAYING" 23 -0.967747053194444 -0.958465695416667
"fBodyAccMag" "LAYING" 24 -0.973171068055556 -0.971063024027778
"fBodyAccMag" "LAYING" 25 -0.774481943616438 -0.651353241643836
"fBodyAccMag" "LAYING" 26 -0.969269114078947 -0.966576631710526
"fBodyAccMag" "LAYING" 27 -0.981389017702703 -0.980296339054054
"fBodyAccMag" "LAYING" 28 -0.961035587625 -0.95756401875
"fBodyAccMag" "LAYING" 29 -0.986800645362319 -0.981599783623188
"fBodyAccMag" "LAYING" 30 -0.962840820428571 -0.964051810714286
"fBodyBodyAccJerkMag" "WALKING" 1 -0.0571194000343158 -0.103492403002105
"fBodyBodyAccJerkMag" "WALKING" 2 -0.169064352813559 -0.164091969449153
"fBodyBodyAccJerkMag" "WALKING" 3 -0.186764516965517 -0.0898519904044828
"fBodyBodyAccJerkMag" "WALKING" 4 -0.318587811 -0.320458701
"fBodyBodyAccJerkMag" "WALKING" 5 -0.269481661080357 -0.305685376071429
"fBodyBodyAccJerkMag" "WALKING" 6 -0.055401423331579 -0.0964999702982456
"fBodyBodyAccJerkMag" "WALKING" 7 -0.0384187298547368 -0.022138358
"fBodyBodyAccJerkMag" "WALKING" 8 -0.123834409766667 -0.276436130125
"fBodyBodyAccJerkMag" "WALKING" 9 -0.316870715576923 -0.322337536730769
"fBodyBodyAccJerkMag" "WALKING" 10 0.0205189516981132 0.0502087634986792
"fBodyBodyAccJerkMag" "WALKING" 11 -0.395116134237288 -0.41744681559322
"fBodyBodyAccJerkMag" "WALKING" 12 -0.029912425338 -0.013953908696
"fBodyBodyAccJerkMag" "WALKING" 13 -0.15211150075614 -0.113591923723684
"fBodyBodyAccJerkMag" "WALKING" 14 -0.431591453389831 -0.453426008983051
"fBodyBodyAccJerkMag" "WALKING" 15 -0.289753952407407 -0.342411927851852
"fBodyBodyAccJerkMag" "WALKING" 16 -0.378278490588235 -0.441447754509804
"fBodyBodyAccJerkMag" "WALKING" 17 -0.335938891803279 -0.211231860180328
"fBodyBodyAccJerkMag" "WALKING" 18 -0.41403775125 -0.444453486071429
"fBodyBodyAccJerkMag" "WALKING" 19 0.0730179928688462 -0.0222869586038462
"fBodyBodyAccJerkMag" "WALKING" 20 0.0545269493972549 -0.0310650270227451
"fBodyBodyAccJerkMag" "WALKING" 21 -0.144009889665385 -0.0186734409634615
"fBodyBodyAccJerkMag" "WALKING" 22 0.0659727285 0.158286745226087
"fBodyBodyAccJerkMag" "WALKING" 23 -0.0180705701559322 -0.0457372334118644
"fBodyBodyAccJerkMag" "WALKING" 24 -0.418641046896552 -0.40297998362069
"fBodyBodyAccJerkMag" "WALKING" 25 -0.564591342162162 -0.51900424972973
"fBodyBodyAccJerkMag" "WALKING" 26 -0.293358341186441 -0.268948465423729
"fBodyBodyAccJerkMag" "WALKING" 27 -0.259934013157895 -0.279732022017544
"fBodyBodyAccJerkMag" "WALKING" 28 -0.360811456296296 -0.436273009814815
"fBodyBodyAccJerkMag" "WALKING" 29 -0.108978206490566 -0.169506499226415
"fBodyBodyAccJerkMag" "WALKING" 30 -0.347180134692308 -0.366537416615385
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 1 -0.44265216245283 -0.533059853773585
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 2 -0.189511136902083 -0.2604238389625
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 3 -0.412920898474576 -0.48060920220339
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 4 -0.397406285 -0.497324087307692
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 5 -0.264674938957447 -0.378616675957447
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 6 -0.169868234496078 -0.177734840922353
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 7 -0.45478324745098 -0.497441363137255
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 8 -0.131850567460976 -0.379266499780488
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 9 -0.419533108571429 -0.484935752040816
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 10 -0.153553147382979 -0.334365043829787
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 11 -0.475928501666667 -0.513703461481481
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 12 -0.3208844625 -0.346565141730769
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 13 -0.425100006545455 -0.491090809090909
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 14 -0.288744334092593 -0.409847649281481
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 15 -0.261956679958333 -0.391313399375
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 16 -0.475597717843137 -0.51993124
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 17 -0.360299853125 -0.437383107916667
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 18 -0.574481396551724 -0.587926077068965
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 19 -0.187391317015 -0.43467125
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 20 -0.215014031556863 -0.280450026862745
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 21 -0.355443706553191 -0.47772185
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 22 -0.0458020362119048 -0.151299835619048
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 23 -0.302968064764706 -0.454324844901961
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 24 -0.429800778813559 -0.45964779779661
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 25 -0.654795110615385 -0.703433692615385
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 26 -0.294970470909091 -0.393715352181818
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 27 -0.460770277843137 -0.473011558823529
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 28 -0.294433415745098 -0.374495907647059
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 29 -0.239108046693878 -0.280583556530612
"fBodyBodyAccJerkMag" "WALKING_UPSTAIRS" 30 -0.549784890615385 -0.580878133230769
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 1 0.0262184949326531 -0.104052260726531
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 2 0.222247409576596 0.227480732542553
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 3 -0.049477977322449 -0.159102288018367
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 4 -0.175295286557778 -0.280426776955556
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 5 0.00918394264170213 -0.089735699787234
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 6 0.243834258785417 0.15480886140625
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 7 0.067389886106383 0.107856840302128
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 8 0.331528459921053 0.134734731236842
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 9 0.00716877883571429 0.0705526138333333
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 10 0.156978047052632 0.0380266696789474
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 11 -0.097454996626087 -0.173661753717391
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 12 0.0769968373 0.0420631251108696
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 13 -0.0282156656914894 -0.0709893839055319
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 14 0.186223478065556 0.194263424111111
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 15 0.158413334683333 0.1505077506
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 16 -0.0745659082223404 -0.0919623368021277
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 17 -0.188680399771739 -0.236538515947826
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 18 -0.3833987134 -0.386565072363636
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 19 0.538404846128205 0.316346415348718
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 20 0.0137917152644444 0.0790379799133333
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 21 0.112442619741778 0.06320531452
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 22 0.0224783539805556 -0.118530349166667
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 23 0.335009724333333 0.2244805035
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 24 -0.200830137109091 -0.0827554911536364
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 25 -0.471642111551724 -0.502224768103448
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 26 -0.15317202912 -0.067941075972
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 27 0.010857564025 -0.113625944990909
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 28 -0.0128823827326087 -0.0883598523695652
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 29 0.000448896304791667 -0.0797714324854167
"fBodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 30 -0.125961400367742 -0.133124304612577
"fBodyBodyAccJerkMag" "SITTING" 1 -0.985262126808511 -0.981606177446808
"fBodyBodyAccJerkMag" "SITTING" 2 -0.983874698913043 -0.984124185869565
"fBodyBodyAccJerkMag" "SITTING" 3 -0.965888891730769 -0.966568852884615
"fBodyBodyAccJerkMag" "SITTING" 4 -0.9625007338 -0.9615845194
"fBodyBodyAccJerkMag" "SITTING" 5 -0.964440302272727 -0.966545323409091
"fBodyBodyAccJerkMag" "SITTING" 6 -0.948348653636364 -0.947304700363636
"fBodyBodyAccJerkMag" "SITTING" 7 -0.970954184166667 -0.9684948675
"fBodyBodyAccJerkMag" "SITTING" 8 -0.980932292391304 -0.97932021173913
"fBodyBodyAccJerkMag" "SITTING" 9 -0.9530504408 -0.9493949814
"fBodyBodyAccJerkMag" "SITTING" 10 -0.985900801111111 -0.983266741481482
"fBodyBodyAccJerkMag" "SITTING" 11 -0.975315331509434 -0.972289134150943
"fBodyBodyAccJerkMag" "SITTING" 12 -0.971715268627451 -0.972951443333333
"fBodyBodyAccJerkMag" "SITTING" 13 -0.988348535306122 -0.988332303469388
"fBodyBodyAccJerkMag" "SITTING" 14 -0.972985342962963 -0.972959409444444
"fBodyBodyAccJerkMag" "SITTING" 15 -0.984689437118644 -0.983276251694915
"fBodyBodyAccJerkMag" "SITTING" 16 -0.983968635942029 -0.982190554782609
"fBodyBodyAccJerkMag" "SITTING" 17 -0.99142725046875 -0.99031962640625
"fBodyBodyAccJerkMag" "SITTING" 18 -0.990407075964912 -0.991044297894737
"fBodyBodyAccJerkMag" "SITTING" 19 -0.983751646712329 -0.983687272739726
"fBodyBodyAccJerkMag" "SITTING" 20 -0.971730462575758 -0.972597744242424
"fBodyBodyAccJerkMag" "SITTING" 21 -0.985342358705882 -0.986991549529412
"fBodyBodyAccJerkMag" "SITTING" 22 -0.968908297096774 -0.967026275967742
"fBodyBodyAccJerkMag" "SITTING" 23 -0.974121466764706 -0.972117016617647
"fBodyBodyAccJerkMag" "SITTING" 24 -0.984469962941177 -0.98561372
"fBodyBodyAccJerkMag" "SITTING" 25 -0.987941825538462 -0.987618801076923
"fBodyBodyAccJerkMag" "SITTING" 26 -0.989481942820513 -0.989521272820513
"fBodyBodyAccJerkMag" "SITTING" 27 -0.988773269428571 -0.988531651142857
"fBodyBodyAccJerkMag" "SITTING" 28 -0.969178686666667 -0.970823336388889
"fBodyBodyAccJerkMag" "SITTING" 29 -0.990093703833333 -0.989822909333333
"fBodyBodyAccJerkMag" "SITTING" 30 -0.985826330967742 -0.985294959032258
"fBodyBodyAccJerkMag" "STANDING" 1 -0.99254247754717 -0.992536003396226
"fBodyBodyAccJerkMag" "STANDING" 2 -0.977065295555556 -0.97516046
"fBodyBodyAccJerkMag" "STANDING" 3 -0.948627467704918 -0.94820681442623
"fBodyBodyAccJerkMag" "STANDING" 4 -0.956139283571429 -0.96003249875
"fBodyBodyAccJerkMag" "STANDING" 5 -0.941825903035714 -0.943601960178571
"fBodyBodyAccJerkMag" "STANDING" 6 -0.955914005438597 -0.95538157877193
"fBodyBodyAccJerkMag" "STANDING" 7 -0.967417888301887 -0.969092161886792
"fBodyBodyAccJerkMag" "STANDING" 8 -0.979745872037037 -0.979135440925926
"fBodyBodyAccJerkMag" "STANDING" 9 -0.963242884 -0.963593159555556
"fBodyBodyAccJerkMag" "STANDING" 10 -0.951633690454545 -0.952105964545455
"fBodyBodyAccJerkMag" "STANDING" 11 -0.988636595319149 -0.98802123106383
"fBodyBodyAccJerkMag" "STANDING" 12 -0.960859009508197 -0.964145595245902
"fBodyBodyAccJerkMag" "STANDING" 13 -0.981977536491228 -0.980621262631579
"fBodyBodyAccJerkMag" "STANDING" 14 -0.970214125833333 -0.969677515666667
"fBodyBodyAccJerkMag" "STANDING" 15 -0.979078785660377 -0.980184086603774
"fBodyBodyAccJerkMag" "STANDING" 16 -0.986502687948718 -0.985912716923077
"fBodyBodyAccJerkMag" "STANDING" 17 -0.990162798846154 -0.989472086666667
"fBodyBodyAccJerkMag" "STANDING" 18 -0.984987073150685 -0.986277356712329
"fBodyBodyAccJerkMag" "STANDING" 19 -0.979135412739726 -0.979179149452055
"fBodyBodyAccJerkMag" "STANDING" 20 -0.940007897123288 -0.936025033013699
"fBodyBodyAccJerkMag" "STANDING" 21 -0.970634296404494 -0.97192611741573
"fBodyBodyAccJerkMag" "STANDING" 22 -0.959743877936508 -0.95665395968254
"fBodyBodyAccJerkMag" "STANDING" 23 -0.973798155735294 -0.9750536875
